구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
남구,시청사거리 하나은행 앞,2020,울산광역시 남구 중앙로 196(신정동),울산광역시 남구 신정동 583-6,35.5385413,129.313134,2020-09-23,O
남구,달동사거리 롯데마트 앞,2017,-,울산광역시 남구 달동 831-5,35.5338128,129.3146447,2020-09-23,O
남구,남구청사거리 문화공원 앞,2017,-,울산광역시 남구 달동 1323,35.5446869,129.3287207,2020-09-23,O
남구,문화예술회관 사거리 앞,2018,울산광역시 남구 번영로 200(달동),울산광역시 남구 달동 413-13 울산문화예술회관,35.5426623,129.326301,2020-09-23,O
남구,목화예식장 사거리,2019,울산광역시 남구 왕생로 58(달동),울산광역시 남구 달동 1362-11,35.5387173,129.3315245,2020-09-23,O
남구,태화강역 알리바바모텔 앞,2017,-,울산광역시 남구 삼산동 1658-8,35.5370423,129.3517266,2020-09-23,O
남구,중리사거리 평창 3차 방면,2018,-,울산광역시 남구 삼산동 1577,35.5450787,129.3357618,2020-09-23,O
남구,중리사거리 하나투어 앞,2018,-,울산광역시 남구 삼산동 1585,35.5438966,129.3420534,2020-09-23,O
남구,중리사거리 정수기나라 앞,2018,-,울산광역시 남구 삼산동 1585,35.5438966,129.3420534,2020-09-23,O
남구,중리사거리 밥집 앞,2018,-,울산광역시 남구 삼산동 1577,35.5450787,129.3357618,2020-09-23,O
남구,울산고속버스터미널 앞,2019,울산광역시 남구 삼산로 288(삼산동),"울산광역시 남구 삼산동 1480-1 롯데백화점, 울산고속버스터미널",35.5373705,129.3392978,2020-09-23,O
남구,쇠정사거리 산림조합 앞,2017,-,울산광역시 남구 무거동 499-7,35.5461185,129.2618994,2020-09-23,O
남구,울산대 정문앞(1),2017,울산광역시 남구 대학로 87-1(무거동),울산광역시 남구 무거동 595-4,35.5405819,129.2579167,2020-09-23,O
남구,울산대 정문앞(2),2019,울산광역시 남구 대학로 87-1(무거동),울산광역시 남구 무거동 595-4,35.5405819,129.2579167,2020-09-23,O
남구,신복로터리 버스환승센터 옆,2019,울산광역시 남구 북부순환도로1번길 1(무거동),울산광역시 남구 무거동 327-41,35.5506549,129.2636127,2020-09-23,O
남구,정골삼거리(문수중학교 앞),2019,-,울산광역시 남구 무거동 499-20,35.5399211,129.2597457,2020-09-23,O
남구,야음사거리 농협 맞은편,2017,-,울산광역시 남구 야음동 664-2,35.5261161,129.3298984,2020-09-23,O
남구,새터삼거리,2019,-,울산광역시 남구 야음동 314-7,35.5194954,129.340376,2020-09-23,O
남구,울산번개시장 앞,2019,-,울산광역시 남구 야음동 459-55,35.5245008,129.3317075,2020-09-23,O
남구,군청사거리 식자재마트 앞,2018,울산광역시 남구 문수로 385(옥동),울산광역시 남구 옥동 154-4 옥동엘지슈퍼,35.526407,129.322692,2020-09-23,O
남구,태화로터리 버스정류장 옆,2019,-,울산광역시 남구 신정동 1513,35.5503563,129.3075079,2020-09-23,X
